Date,Product_ID,Product_Name,Warehouse,Quantity_On_Hand,Quantity_Reserved,Quantity_Available,Reorder_Point,Reorder_Quantity,Unit_Cost,Total_Value,Last_Received,Next_Expected,Status
2024-12-01,PROD-20293,Product 9607,Warehouse-West,476,6,470,66,92,686.69,326864.44,2024-11-25,2024-12-25,Normal
2024-12-01,PROD-59461,Product 8920,Warehouse-West,876,41,835,53,119,1962.74,1719360.24,2024-11-01,2024-12-06,Overstocked
2024-12-01,PROD-19481,Product 3249,Warehouse-Central,868,40,828,29,81,324.02,281249.36,2024-11-07,2024-12-29,Normal
2024-12-01,PROD-23762,Product 6490,Warehouse-West,707,36,671,63,158,1946.35,1376069.45,2024-11-19,2024-12-15,Normal
2024-12-01,PROD-13512,Product 6300,Warehouse-Midwest,157,19,138,47,166,1959.05,307570.85,2024-11-25,2025-01-04,Reorder Required
2024-12-01,PROD-55738,Product 7890,Warehouse-West,61,26,35,55,198,957.17,58387.37,2024-11-14,2024-12-20,Low Stock
2024-12-01,PROD-13551,Product 7297,Warehouse-Midwest,691,35,656,52,145,1171.42,809451.22,2024-11-26,2025-01-15,Reorder Required
2024-12-01,PROD-19457,Product 2617,Warehouse-East,943,39,904,24,125,534.27,503816.61,2024-11-21,2025-01-06,Overstocked
2024-12-01,PROD-85997,Product 5711,Warehouse-East,916,22,894,68,123,643.52,589464.32,2024-11-01,2025-01-09,Normal
2024-12-01,PROD-57569,Product 4394,Warehouse-West,225,35,190,66,142,275.67,62025.75,2024-11-17,2025-01-11,Reorder Required
2024-12-01,PROD-43871,Product 1285,Warehouse-Central,99,45,54,100,81,1617.13,160095.87,2024-11-11,2025-01-08,Low Stock
2024-12-01,PROD-19780,Product 5383,Warehouse-South,899,32,867,42,85,1696.69,1525324.31,2024-11-27,2024-12-08,Normal
2024-12-01,PROD-65045,Product 5264,Warehouse-South,692,24,668,89,166,1295.55,896520.6,2024-11-16,2024-12-02,Normal
2024-12-01,PROD-87053,Product 3449,Warehouse-East,82,21,61,42,173,1957.54,160518.28,2024-11-18,2024-12-03,Low Stock
2024-12-01,PROD-93030,Product 1510,Warehouse-East,725,6,719,29,136,1536.77,1114158.25,2024-11-13,2024-12-06,Reorder Required
2024-12-01,PROD-30265,Product 9421,Warehouse-Midwest,689,36,653,79,144,824.78,568273.42,2024-11-18,2025-01-07,Reorder Required
2024-12-01,PROD-40830,Product 3984,Warehouse-North,529,43,486,35,79,1970.35,1042315.15,2024-11-01,2024-12-13,Normal
2024-12-01,PROD-55256,Product 4515,Warehouse-North,796,48,748,48,86,1187.95,945608.2,2024-11-23,2024-12-24,Normal
2024-12-01,PROD-40841,Product 8586,Warehouse-Midwest,177,20,157,92,99,1341.25,237401.25,2024-11-01,2025-01-07,Normal
2024-12-01,PROD-24074,Product 7235,Warehouse-North,274,38,236,92,73,1904.05,521709.7,2024-11-25,2024-12-30,Normal
2024-12-01,PROD-92136,Product 8306,Warehouse-North,860,11,849,54,198,1994.05,1714883.0,2024-11-22,2025-01-11,Normal
2024-12-01,PROD-55419,Product 7414,Warehouse-North,989,22,967,30,149,848.26,838929.14,2024-11-21,2024-12-27,Normal
2024-12-01,PROD-09418,Product 4270,Warehouse-Midwest,69,50,19,70,192,693.15,47827.35,2024-11-19,2024-12-10,Low Stock
2024-12-01,PROD-51524,Product 9246,Warehouse-West,326,23,303,64,179,1457.2,475047.2,2024-11-01,2024-12-16,Normal
2024-12-01,PROD-55300,Product 8511,Warehouse-Midwest,323,1,322,34,163,698.82,225718.86,2024-11-02,2025-01-12,Normal
2024-12-01,PROD-76927,Product 3773,Warehouse-East,507,21,486,85,112,1695.63,859684.41,2024-11-26,2024-12-07,Low Stock
2024-12-01,PROD-68751,Product 3827,Warehouse-Midwest,869,7,862,44,190,154.8,134521.2,2024-11-23,2024-12-25,Normal
2024-12-01,PROD-54252,Product 2857,Warehouse-Midwest,559,30,529,28,89,254.5,142265.5,2024-11-13,2025-01-08,Normal
2024-12-01,PROD-18742,Product 9261,Warehouse-South,407,48,359,30,195,1546.62,629474.34,2024-11-30,2025-01-07,Low Stock
2024-12-01,PROD-99537,Product 7677,Warehouse-Central,671,20,651,34,102,1071.86,719218.06,2024-11-30,2024-12-30,Normal
2024-12-01,PROD-50457,Product 1777,Warehouse-South,449,19,430,30,131,165.58,74345.42,2024-11-16,2024-12-10,Low Stock
2024-12-01,PROD-29969,Product 4294,Warehouse-East,883,22,861,66,118,922.9,814920.7,2024-11-19,2025-01-08,Overstocked
2024-12-01,PROD-96698,Product 2158,Warehouse-South,278,1,277,28,104,1539.46,427969.88,2024-11-22,2024-12-19,Reorder Required
2024-12-01,PROD-15635,Product 4836,Warehouse-South,172,29,143,33,114,1072.3,184435.6,2024-11-22,2024-12-26,Overstocked
2024-12-01,PROD-71660,Product 1262,Warehouse-East,972,46,926,58,96,1550.46,1507047.12,2024-11-26,2024-12-05,Normal
2024-12-01,PROD-31705,Product 4575,Warehouse-Midwest,792,11,781,98,108,257.22,203718.24,2024-11-20,2024-12-11,Normal
2024-12-01,PROD-51694,Product 9980,Warehouse-Midwest,465,46,419,33,75,983.16,457169.4,2024-11-17,2025-01-08,Normal
2024-12-01,PROD-03809,Product 7374,Warehouse-Midwest,626,21,605,31,154,1286.76,805511.76,2024-11-13,2024-12-16,Low Stock
2024-12-01,PROD-04764,Product 6397,Warehouse-West,908,37,871,45,151,1694.54,1538642.32,2024-11-26,2025-01-02,Normal
2024-12-01,PROD-05955,Product 7081,Warehouse-West,326,7,319,34,50,337.16,109914.16,2024-11-21,2025-01-12,Normal
2024-12-01,PROD-83421,Product 8826,Warehouse-Midwest,131,14,117,92,74,290.83,38098.73,2024-11-20,2024-12-26,Normal
2024-12-01,PROD-98058,Product 5951,Warehouse-West,59,13,46,36,161,773.29,45624.11,2024-11-27,2024-12-04,Low Stock
2024-12-01,PROD-29609,Product 9838,Warehouse-West,651,6,645,20,84,523.65,340896.15,2024-11-03,2024-12-27,Low Stock
2024-12-01,PROD-43375,Product 3959,Warehouse-North,564,10,554,50,56,1122.52,633101.28,2024-11-01,2025-01-01,Normal
2024-12-01,PROD-42845,Product 3031,Warehouse-Midwest,66,13,53,92,172,378.36,24971.76,2024-11-03,2024-12-30,Low Stock
2024-12-01,PROD-74177,Product 1117,Warehouse-Midwest,804,18,786,55,153,271.43,218229.72,2024-11-09,2025-01-07,Reorder Required
2024-12-01,PROD-01969,Product 4868,Warehouse-South,237,16,221,83,194,944.8,223917.6,2024-11-23,2024-12-18,Low Stock
2024-12-01,PROD-95584,Product 6802,Warehouse-East,167,48,119,65,116,531.88,88823.96,2024-11-16,2025-01-13,Low Stock
2024-12-01,PROD-66743,Product 1984,Warehouse-West,93,47,46,57,129,1131.12,105194.16,2024-11-23,2025-01-13,Low Stock
2024-12-01,PROD-36177,Product 1825,Warehouse-Midwest,132,5,127,62,167,195.95,25865.4,2024-11-04,2024-12-12,Reorder Required
2024-12-01,PROD-44851,Product 2539,Warehouse-East,775,30,745,66,109,1063.9,824522.5,2024-11-28,2024-12-10,Normal
2024-12-01,PROD-56844,Product 9813,Warehouse-South,476,49,427,28,161,1642.93,782034.68,2024-11-15,2024-12-22,Reorder Required
2024-12-01,PROD-91502,Product 1217,Warehouse-North,808,9,799,59,92,739.7,597677.6,2024-11-08,2024-12-16,Normal
2024-12-01,PROD-03785,Product 8127,Warehouse-Midwest,626,25,601,60,60,917.98,574655.48,2024-11-27,2024-12-17,Low Stock
2024-12-01,PROD-40027,Product 3930,Warehouse-North,530,44,486,50,167,462.07,244897.1,2024-11-20,2024-12-19,Overstocked
2024-12-01,PROD-28608,Product 6008,Warehouse-East,643,38,605,74,182,1355.71,871721.53,2024-11-28,2024-12-29,Normal
2024-12-01,PROD-72413,Product 2260,Warehouse-Central,959,27,932,38,132,1104.45,1059167.55,2024-11-28,2024-12-31,Normal
2024-12-01,PROD-98775,Product 6934,Warehouse-Central,342,7,335,51,121,884.7,302567.4,2024-11-24,2024-12-05,Low Stock
2024-12-01,PROD-16961,Product 7550,Warehouse-North,503,22,481,40,131,201.54,101374.62,2024-11-14,2024-12-05,Low Stock
2024-12-01,PROD-91307,Product 7541,Warehouse-East,728,23,705,76,146,1422.67,1035703.76,2024-11-02,2024-12-15,Normal
2024-12-01,PROD-29778,Product 2970,Warehouse-West,578,25,553,21,109,1855.01,1072195.78,2024-11-11,2024-12-05,Low Stock
2024-12-01,PROD-04530,Product 3392,Warehouse-North,583,29,554,83,109,1729.37,1008222.71,2024-11-02,2025-01-09,Reorder Required
2024-12-01,PROD-14799,Product 7339,Warehouse-North,102,1,101,37,105,1682.66,171631.32,2024-11-23,2024-12-09,Normal
2024-12-01,PROD-91433,Product 6837,Warehouse-North,894,22,872,24,190,570.54,510062.76,2024-11-08,2024-12-10,Reorder Required
