Standard_Product_ID,Internal_Product_ID,Product_Name,Category,Price_USD,Notes
PROJECTOR-75-00000,PROD-01921,"Projector 75"" - Model 00000",Projector,583.77,From catalog - In Stock
LCD-TV-40-00001,PROD-64548,"LCD TV 40"" - Model 00001",LCD TV,595.75,From catalog - Pre-order
PROJECTOR-50-00002,PROD-82711,"Projector 50"" - Model 00002",Projector,459.74,From catalog - In Stock
COMPUTER-MONITOR-43-00003,PROD-6265,"Computer Monitor 43"" - Model 00003",Computer Monitor,622.81,From catalog - In Stock
QLED-TV-45-00004,PROD-61532,"QLED TV 45"" - Model 00004",QLED TV,1218.99,From catalog - In Stock
COMMERCIAL-DISPLAY-43-00005,PROD-35420,"Commercial Display 43"" - Model 00005",Commercial Display,1069.49,From catalog - In Stock
LCD-TV-85-00006,PROD-49091,"LCD TV 85"" - Model 00006",LCD TV,860.83,From catalog - In Stock
PROJECTOR-40-00007,PROD-61676,"Projector 40"" - Model 00007",Projector,689.66,From catalog - Limited
PROJECTOR-70-00008,PROD-58999,"Projector 70"" - Model 00008",Projector,510.04,From catalog - In Stock
ACCESSORIES-0-00009,PROD-46747,Accessories - SKU 00009,Accessories,260.02,From catalog - In Stock
AUDIO-43-00010,PROD-2424,"Audio 43"" - Model 00010",Audio,315.54,From catalog - Pre-order
COMMERCIAL-DISPLAY-65-00011,PROD-99512,"Commercial Display 65"" - Model 00011",Commercial Display,1464.83,From catalog - In Stock
QLED-TV-77-00012,PROD-32359,"QLED TV 77"" - Model 00012",QLED TV,1708.91,From catalog - In Stock
COMPUTER-MONITOR-24-00013,PROD-26626,"Computer Monitor 24"" - Model 00013",Computer Monitor,479.36,From catalog - In Stock
PROJECTOR-43-00014,PROD-89155,"Projector 43"" - Model 00014",Projector,1557.42,From catalog - In Stock
OLED-TV-70-00015,PROD-05658,"OLED TV 70"" - Model 00015",OLED TV,2236.83,From catalog - In Stock
COMPUTER-MONITOR-75-00016,PROD-63407,"Computer Monitor 75"" - Model 00016",Computer Monitor,880.59,From catalog - In Stock
COMPUTER-MONITOR-50-00017,PROD-7829,"Computer Monitor 50"" - Model 00017",Computer Monitor,688.1,From catalog - In Stock
AUDIO-60-00018,PROD-11202,"Audio 60"" - Model 00018",Audio,69.42,From catalog - Limited
